title,info,author,narrator,release_date,publisher,listening_length,language,version,program_type,copyright,ratings,number_of_reviews
The Miracle Morning (Updated and Expanded Edition): The Not-So-Obvious Secret Guaranteed to Transform Your Life (Before 8AM)," Start waking up to your full potential every single day with the updated and expanded edition of the groundbreaking book with more than two million copies sold.Getting everything you want out of life isn’t about doing more. It’s about becoming more. Hal Elrod and The Miracle Morning have helped millions of people become the person they need to be to create the life they’ve always wanted. Now, it’s your turn.Hal’s revolutionary S.A.V.E.R.S. method is a simple, effective step-by-step process to transform your life in as little as six minutes per day:Silence: Reduce stress and improve mental clarity by beginning each day with peaceful, purposeful quietAffirmations: Reprogram your mind to overcome any fears or beliefs that are limiting your potential or causing you to sufferVisualization: Experience the power of mentally rehearsing yourself showing up at your best each dayExercise: Boost your mental and physical energy in as little as 60 secondsReading: Acquire knowledge and expand your abilities by learning from expertsScribing: Keep a journal to deepen gratitude, gain insights, track progress, and increase your productivity by getting clear on your top prioritiesThis updated and expanded edition has new content, including:""The Miracle Evening"": Optimize your bedtime and sleep to wake up every day feeling refreshed and energized for your miracle morning""The Miracle Life"": Begin your path to inner freedom so you can truly be happy and learn to love the life you have while you create the life you want ",Hal Elrod,Hal Elrod, 12 December 2023 ,"Hal Elrod International, Inc.", 7 hours and 22 minutes , English , Unabridged , Audiobook ,"©2023 Miracle Morning, LP and International Literary Properties LLC. (P)2023 Miracle Morning, LP and International Literary Properties LLC",4.5 out of 5 stars,"31,201 ratings"
This Book May Save Your Life: Everyday Health Hacks to Worry Less and Live Better," Brought to you by Penguin.The hilarious, myth-busting survival guide to the human body from TikTok's favourite General Surgeon.Though the odds are stacked against us, the human body has an extraordinary tendency to survive. Here, Dr Karan Rajan explains the weird and wonderful bodily functions that keep us going, and offers practical advice to help you thrive.Full of everyday health hacks to worry less and live better, This Book May Save Your Life will teach you:HOW TO SLEEP BETTER WITH THE 10-3-2-1 TRICKTHE DANGERS OF PLUCKING YOUR NOSE HAIRSWHAT YOUR FINGERNAILS SAY ABOUT YOUR HEALTHHOW AN OILY SCALP IS GOOD FOR THE ENVIRONMENTAND WHY YOU SHOULD NEVER HOLD IN A FART ",Dr Karan Rajan,Dr Karan Rajan, 28 December 2023 ,Penguin Audio, 8 hours and 45 minutes , English , Unabridged , Audiobook ,©2023 Karan Rajan (P)2023 Penguin Audio,4.8 out of 5 stars,192 ratings
Early Indians," Who are we Indians? Where did we come from? To tell us the story of our ancestry, journalist Tony Joseph goes 65,000 years into the past–when a band of Homo sapiens first made their way from Africa into the Indian subcontinent. These were the First Indians. Citing recent DNA evidence, he traces the subsequent large migrations of modern humans into India–of a people related to early farmers of Iran who mixed with the First Indians at the latest between 5400 BCE and 3700 BCE and of the ‘Arya’ between 2000 BCE and 1500 BCE, among others. As Joseph unravels our past, he takes head-on some of the most controversial and uncomfortable questions of Indian history: Who were the Harappans? Are north Indians genetically different from south Indians? When did the caste system emerge? A hugely significant book, Early Indians bravely puts to rest several fierce debates on the ancestry of modern Indians. ",Tony Joseph,Amit Bhargav, 16 January 2024 ,Taar Maar Productions, 7 hours and 35 minutes , English , Unabridged , Audiobook ,©2021 Juggernaut (P)2022 Amit Bhargav,4.6 out of 5 stars,"2,322 ratings"
How Business Storytelling Works: Increase Your Influence and Impact," Why are you alive today and listening to this book?How will you, a corporate professional, be relevant in the future?The #1 answer to both is storytelling.Business storytelling is the #1 skill you need to succeed in your professional lives amidst all the noise, competition and massive technological disruption. In this book, Sandeep looks at human evolution, behavioural psychology and the world of movies to identify the golden principles of storytelling.Whether you are a corporate professional, an entrepreneur, a tech guru, a marketer, a strategy consultant, a social media influencer or a student, the book tells you how to succeed in the REAL world. Sandeep brings in nuggets from his numerous storytelling workshops at leading corporates and business schools, and intersperses it with illustrations and hordes of popular culture references, making the book as engaging as a good story. So, what are you waiting for? Head to the checkout. ",Sandeep Das,Sandeep Das, 6 November 2023 ,Random House Audio, 8 hours and 34 minutes , English , Unabridged , Audiobook ,©2023 Sandeep Das (P)2023 Random House Audio,4.4 out of 5 stars,96 ratings
Heal Your Nervous System: The 5–Stage Plan to Reverse Nervous System Dysregulation," Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation—from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous System, Dr. Passaler presents her 5-stage plan, developed over the last decade, to equip you with the knowledge to understand and regulate your unique nervous system.Despite its advances, conventional medicine has often overlooked the importance of nervous system regulation in our health and quality of life. This is especially true for highly sensitive individuals, who may be more susceptible to a dysregulated nervous system. Instead of merely treating the symptoms, Dr. Passaler shows you how to make a profound shift from reactive treatment to proactive healing.Grounded in recent scientific advances in neurobiology, chronic stress, trauma, and sensitivity, this is not a short-term or one-size-fits-all solution, but a comprehensive strategy to tackle the source of your symptoms, and restore your physical, cognitive, and emotional health.  In Heal Your Nervous System, you will discover:How anxiety, trauma, and chronic stress are not just “in your head,” but manifest in all areas of your healthHow to assess your current level of nervous system dysregulationWhy nervous system dysregulation can cause both mental and physical symptomsHow your individual sensitivity profile and past experiences came together to tip your nervous system into a state of dysregulationThe four most common mistakes people make in their healing journey, and how to avoid themTop essential habits that support your nervous system during your healing journeySimple practices, exercises, and routines that progressively reverse nervous system dysregulationHow to organize the most effective practices into the right order, a sequence that supports your healing without getting overwhelmedYour nervous system and health are far more adaptable than you think. With Heal Your Nervous System as your guidebook, you can navigate a fresh path, reverse symptoms, and progressively move towards a robust mind and body.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Linnea Passaler,Linnea Passaler, 9 January 2024 ,Fair Winds Press, 12 hours and 53 minutes , English , Unabridged , Audiobook ,©2023 Linnea Passaler (P)2023 Fair Winds Press,4.8 out of 5 stars,48 ratings
The Big Bull of Dalal Street: How Rakesh Jhunjhunwala Made His Fortune," Respect the market. Have an open mind. Know what to stake. Know when to take a loss. Be responsible,' this is what Rakesh Jhunjhunwala, India's iconic stock market investor, often used to say.This book looks at the life of India's big bull, as Rakesh was famously known, both as a person and as a professional. Providing a fascinating account of his journey, it analyzes the records of Jhunjhunwala's investments and interviews he has given over the years. More than just a biography, a large section of the book is devoted to understanding the stocks that made him rich and the mistakes he made. Looking at the journey of the legendary investor, the book offers retail investors some useful insights----benefits of long-term investing, mistakes one should avoid in the stock market, risk associated with leveraged trades, among others. ",Neil Borate,Abhishek Sharma, 11 January 2024 ,Random House Audio, 4 hours and 18 minutes , English , Unabridged , Audiobook ,"©2023 Neil Borate, Aprajita Sharma, Aditya Kondawar (P)2023 Random House Audio",3.7 out of 5 stars,182 ratings
"Iron Flame: Empyrean, Book 2"," “The first year is when some of us lose our lives. The second year is when the rest of us lose our humanity.”―Xaden Riorson Everyone expected Violet Sorrengail to die during her first year at Basgiath War College―Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet’s already wondering how she’ll get through. It’s not just that it’s grueling and maliciously brutal, or even that it’s designed to stretch the riders’ capacity for pain beyond endurance. It’s the new vice commandant, who’s made it his personal mission to teach Violet exactly how powerless she is–unless she betrays the man she loves.Although Violet’s body might be weaker and frailer than everyone else’s, she still has her wits―and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won’t be enough this year.Because Violet knows the real secret hidden for centuries at Basgiath War College―and nothing, not even dragon fire, may be enough to save them in the end.The Empyrean series is best enjoyed in order.Listening Order:Book #1 Fourth WingBook #2 Iron Flame ",Rebecca Yarros,Rebecca Soler, 7 November 2023 ,Recorded Books, 28 hours and 16 minutes , English , Unabridged , Audiobook ,©2024 Rebecca Yarros (P)2024 Recorded Books,4.6 out of 5 stars,"108,903 ratings"
"The End and the Death: Volume III: The Horus Heresy: Siege of Terra, Book 8, Part 3"," Siege of Terra Book 8, Part 3It all comes down to this final confrontation – the Emperor versus the Warmaster. The father versus the son. After 63 novels and a slew of short stories, omnibuses, audio dramas, and more – this is the End and the Death.LISTEN TO IT BECAUSEThe Horus Heresy series reaches its dramatic climax. After years of civil war, the Emperor and Horus clash aboard the Vengeful Spirit in an epic battle of blades, wits, and wills. See how the greatest conflict of the age plays out, and follow fan-favourite characters from across the saga as they desperately try to influence the outcome.THE STORYThe Great Angel, Sanguinius, lies slain at his brother's hand. Terra burns as reality itself unravels, and the greatest bastion of civilisation teeters on the brink of annihilation.Desperate defenders gather, banding against the rabid traitor hordes. The Hollow Mountain, host to the pilgrims of Euphrati Keeler, is one of the last redoubts held by the Dark Angels while the unclean host of Typhus lays siege. Malcador the Sigillite sits ablaze on the Golden Throne, trying to buy his master more time. But time is running out...Guilliman races across the stars to reinforce the Throneworld. Will he return to ashes, where a Warmaster of Chaos has ascended to godhood, or will the Emperor have triumphed? And at what cost? ",Dan Abnett,Jonathan Keeble, 27 January 2024 ,Black Library, 14 hours and 51 minutes , English , Unabridged , Audiobook ,©2023 Games Workshop Limited (P)2023 Games Workshop Limited,4.7 out of 5 stars,65 ratings
"1947-1957, India: The Birth of a Republic"," The first decade after India's independence, 1947-1957, was probably the most crucial in the nation's history. Opening a window to this period, this book weaves a story out of the complex ideas and events that have largely remained beneath the surface of public discourse. The transfer of power, the framing of the Constitution and the formation of the governance machinery; the clash of ideas and ideologies among parties and personalities; the beginning of the disintegration of the Congress and the consolidation of political forces in the opposition; Nehru's grappling with existential problems at home and his quest for global peace; the interplay between democratic ideals and ruthless power play—all these factors impinged on each other and shaped the new republic in its formative decade. Thought-provoking, argumentative and thoroughly enjoyable, 1947-1957, India: The Birth of a Republic is a must-listen for anyone interested in Indian political history. ",Chandrachur Ghose,Dev J Haldar, 23 January 2024 ,Random House Audio, 11 hours and 33 minutes , English , Unabridged , Audiobook ,©2023 Chandrachur Ghose (P)2024 Random House Audio,4.6 out of 5 stars,39 ratings
Fundamentals of Data Engineering: Plan and Build Robust Data Systems," Data engineering has grown rapidly in the past decade, leaving many software engineers, data scientists, and analysts looking for a comprehensive view of this practice. With this practical book, you'll learn how to plan and build systems to serve the needs of your organization and customers by evaluating the best technologies available through the framework of the data engineering lifecycle.Authors Joe Reis and Matt Housley walk you through the data engineering lifecycle and show you how to stitch together a variety of cloud technologies to serve the needs of downstream data consumers. You'll understand how to apply the concepts of data generation, ingestion, orchestration, transformation, storage, and governance that are critical in any data environment regardless of the underlying technology.This book will help you: get a concise overview of the entire data engineering landscape; assess data engineering problems using an end-to-end framework of best practices; cut through marketing hype when choosing data technologies, architecture, and processes; use the data engineering lifecycle to design and build a robust architecture; and incorporate data governance and security across the data engineering lifecycle.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Joe Reis,Adam Verner, 21 November 2023 ,Ascent Audio, 17 hours and 31 minutes , English , Unabridged , Audiobook ,©2022 Joseph Reis and Matthew Housley (P)2023 Ascent Audio,4.6 out of 5 stars,430 ratings
How Not to Age: The Scientific Approach to Getting Healthier as You Get Older," Uncover the evidence-based science to slowing the effects of aging, from the New York Times bestselling author of the How Not to Die series.This audio edition is captivatingly read by the author, Michael Greger MD.What if diet could regulate every one of the most promising strategies for combating the effects of aging? That is just what Dr Michael Greger, founder of NutritionFacts.org, found when he dove into the top peer-reviewed anti-aging medical research. It turns out we don’t need Big Pharma to keep us feeling young – we already have the tools. In How Not to Age, the internationally renowned physician and nutritionist breaks down the science of aging and chronic illness and explains how to help avoid the diseases most commonly encountered in our journeys through life.Discover the eleven pathways for ageing and how to disrupt each of them. Find out how to bring more of the foods high in compounds that boost natural processes – mushrooms, tempeh, onions, apples and kale – proven to clear problems like inflammation and other age related diseases into your diet. Inspired by the dietary and lifestyle patterns of centenarians and residents of global ‘blue zone’ regions where people live the longest, Dr Greger presents simple, accessible, and evidence-based methods to preserve the body functions that keep you feeling youthful, both physically and mentally. Getting older does not have to mean getting sicker.Brimming with expertise and actionable takeaways, How Not to Age lays out practical strategies for achieving ultimate longevity.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Michael Greger,Michael Greger, 7 December 2023 ,Bluebird, 27 hours and 57 minutes , English , Unabridged , Audiobook ,©2023 Michael Greger (P)2023 Macmillan Publishers International Limited,4.6 out of 5 stars,403 ratings
Choose Your Enemies Wisely: Business Planning for the Audacious Few," What’s the difference between your competitor and your enemy?You know who your competitors are. You keep tabs on them regularly, and can list them calmly, along with their strengths and weaknesses.But your enemies are a whole other matter. They’re the haters and the doubters who said you’d never make it, the ones who stomped on your dreams. When you think about your enemies, you get emotional. You feel like you won’t let anything—or anyone—stop you.In Choose Your Enemies Wisely, Patrick Bet-David, #1 Wall Street Journal bestselling author, founder of Valuetainment, and host of The PBD Podcast, shows how to harness that emotion to turbocharge your business, dominate this year, and grow for generations after.But first, you need to choose your enemies wisely.Bet-David has spent years perfecting the system that led to the knockout success of his own financial services company. Now, Bet-David shares the secret behind this system: his 12 Business Building Blocks, which will teach you how to seamlessly blend emotion and logic in your business plan. Both a practical document for achieving goals and the fuel needed to fire up yourself and your team, this plan goes beyond the “how” and digs deeper into the “why”: not only how you’ll get funding, but why you need long-term vision; why you must build a culture that makes employees want to run through walls; why you have to know the enemy you’re out to prove wrong. Straightforward and simple, the steps in this book will lead you to move the levers that create exponential growth and lasting success.Listen to Choose Your Enemies Wisely if you are a visionary, dreamer, and big thinker. Where you are now in your business journey doesn’t matter. By following Bet-David’s plan, you will set up your business for sustainable success and accomplish your most audacious goals.* This audiobook edition includes a downloadable PDF that contains important visual aids from the book.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Patrick Bet-David,Patrick Bet-David, 5 December 2023 ,Penguin Audio, 8 hours and 6 minutes , English , Unabridged , Audiobook ,©2023 Patrick Bet-David and Greg Dinkin (P)2023 Penguin Audio,4.8 out of 5 stars,201 ratings
Talk to Strangers: The Yes Theory Story," If you were 99 years old and on your deathbed and were given a chance to come back to today, what would you do right now?  Matt Dahlia was a recent college grad with no direction in his life: his business was dead on arrival and all his friends had left town. He was broke and searching for belonging in a world that didn’t understand him. That is, until he serendipitously met Thomas, who not only felt the same way he did, but had a project in mind: Together, along with two more like-minded strangers, they were going to move into a one-bedroom apartment and film themselves doing 30 things they had never done before in 30 days.  That summer project changed their lives forever: it pushed them out of their comfort zones, bonded them for life, and allowed them to reach a wide audience online. Their journey would eventually become Yes Theory, a massive movement of millions of people living by the philosophy of seeking discomfort.  In this memoir, Matt reveals the extreme highs and lows of Yes Theory, sharing his own along the way. This is a story about the sacrifices it takes to make a dream come true, what happens when a small group of friends suddenly have the attention of millions of strangers online, and what it means to say goodbye when everything seems to be going so well.  But most of all, it’s a reminder to ask yourself that most important question: what do you want out of life? ",Matt Dahlia,Matt Dahlia, 2 December 2023 ,Yes Theory LLC, 5 hours and 40 minutes , English , Unabridged , Audiobook ,©2023 Matt Dahlia (P)2023 Matt Dahlia,4.8 out of 5 stars,333 ratings
Infectious Generosity: The Ultimate Idea Worth Spreading," Brought to you by Penguin.Perhaps the simplest, most powerful moral question you can ask of your life is: 'Am I a net giver, or a net taker?'  As head of TED for the past 20 years, Chris Anderson has had a ringside view of the world's most significant thinkers sharing their boldest ideas across every imaginable discipline. Yet there's a single theme that stands out in his mind as the essential connecting thread: generosity.  It may seem simple, but generosity has played a key role in building the tools, knowledge, and institutions that have allowed civilisation to flourish. Now, in our unsettled modern world, beset by disruption and division, Anderson believes our collective future depends on reconnecting to this vital human trait.  In this profound and inspiring book, Anderson shows how the same technologies that have been a catalyst for negativity can be turned into an exponential force for good - to create chain reactions of generous behaviour. The potential lies in every one of us, right now - for generosity, it turns out, is wired deeply inside you. Gifts of time, talent, connection and kindness have always been part of what it is to be a good human. What's different today, Anderson reveals, is the power each of us has - if we'd only stop to think about it - to catalyse world-changing, self-replicating impact.  The people, companies, investors and organisations who understand this, who prioritise generosity - who give more to the world than they take from it - are the ones that will own the future. And they'll be happier as a result.  This book shows you how. ",Chris Anderson,Chris Anderson, 25 January 2024 ,Penguin Audio, 6 hours and 58 minutes , English , Unabridged , Audiobook ,©2024 Chris Anderson (P)2024 Penguin Audio,5.0 out of 5 stars,3 ratings
"Quantum Body: The New Science of Living a Longer, Healthier, More Vital Life"," Brought to you by Penguin.What is the best way to age well and live longer?  For decades, millions of people have tried to crack the secret of time and how to withstand it. The question affects the way we eat, treatments we invest in, and expensive packages sold by online gurus offering magical solutions. But without understanding the physical and spiritual links between quantum physics, biology and issues plaguing the body like inflammation, stress, and aging, the answer will continue to elude us.  In Quantum Body, international bestselling author Deepak Chopra teams up with world renowned physicist Jack Tuszynski and leading endocrinologist Brian Fertig, MD, to reveal the new frontiers in health and aging. Timely and accessible, this book expands the barriers of science and invites you on the path to individual healing and longevity. ",Dr Deepak Chopra,Deepak Chopra MD, 7 December 2023 ,Penguin Audio, 7 hours , English , Unabridged , Audiobook ,©2023 Deepak Chopra (P)2023 Penguin Audio,4.5 out of 5 stars,89 ratings
Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet," Brought to you by Penguin.Feeling anxious, powerless or confused about the future of our planet? This book will transform how you see our biggest environmental problems -- and how we can solve them  We are bombarded by doomsday headlines that tell us the soil won't be able to support crops, fish will vanish from our oceans, that we should reconsider having children.  But in this bold, radically hopeful book, data scientist Hannah Ritchie argues that if we zoom out, a very different picture emerges. The data shows we've made so much progress on these problems, and so fast, that we could be on track to achieve true sustainability for the first time in history.  Packed with the latest research, practical guidance and enlightening graphics, this book will make you rethink almost everything you've been told about the environment, from the virtues of eating locally and living in the countryside, to the evils of overpopulation, plastic straws and palm oil. It will give you the tools to understand what works, what doesn't and what we urgently need to focus on so we can leave a sustainable planet for future generations.These problems are big. But they are solvable. We are not doomed. We can build a better future for everyone. Let's turn that opportunity into reality. ",Hannah Ritchie,Hannah Ritchie, 11 January 2024 ,Penguin Audio, 9 hours and 25 minutes , English , Unabridged , Audiobook ,©2024 Hannah Ritchie (P)2024 Penguin Audio,4.5 out of 5 stars,77 ratings
"Damaged Goods: All Saints High, Book 4"," From L.J. Shen, the WSJ best-selling author of Vicious and The Kiss Thief, comes a brand-new angsty, delicious stand-alone in the All Saints series. This friends-to-lovers, boy-obsessed romance will make you cry your eyes out and laugh with joy, sometimes within seconds of one another.Underneath the goody-two-shoes persona is damaged goods...but can the bad boy across the street save her?Bailey Followhill is the perfect daughter. Sweet. Charitable. Pretty. Control freak. Not a hair out of place, not an inch out of line, she is everything her troublemaking sister Daria isn't. But when her A game turns out to be a lukewarm C- at Juilliard, Bailey's picture-ready life starts fraying faster than the worn satin ribbons of her pointe shoes. She's becoming a piece of gossip. The troubled child. A drug abuser. No longer the girl her best friend once knew.Lev Cole is so golden, he's got the Midas touch. Prized quarterback. Football captain. Hottest guy in SoCal. A textbook cliché. But with a girlfriend he doesn't love and a career path he doesn't value, Lev is coasting. The only two things he cares about―Bailey and becoming a pilot―are out of reach.But Lev is done being satisfied with the life others have chosen for him. He wants to pick his own cards. To demolish the seamless kingdom of lies his family stitched together on the ruins his mother left behind.The question is, can he save his best friend and his dream before too much damage is done? ",L.J. Shen,Savannah Peachwood, 23 January 2024 ,Audible Studios, 13 hours and 19 minutes , English , Unabridged , Audiobook ,"©2024 L.J. Shen (P)2023 Audible, Inc.",4.5 out of 5 stars,"1,294 ratings"
Marketing 6.0: The Future Is Immersive," In Marketing 6.0, the celebrated promoter of the ""Four P's of Marketing,"" Philip Kotler, explains how marketers can use technology to address customers' needs and make a difference in the world. In a new age of metamarketing, this book provides marketers with a way to integrate technological and business model evolution with the dramatic shifts in consumer behavior that have happened in the last decade. Listeners will learn about: the building blocks of metamarketing; Generation Z and Generation Alpha and the technologies they use daily; how to tap into metaverses and extended reality; and the potential obstacles and solutions for creating a more interactive and immersive experience.Marketing has evolved to address global challenges and changing customer expectations. Incorporating sustainability themes and new technologies for customer engagement are essential for businesses to remain relevant. Indeed, marketing has shifted from traditional to digital, but most customers still value some forms of human interaction. As a result, multichannel and omnichannel marketing have become popular among marketers aiming to leverage both traditional and digital engagement. Metamarketing goes beyond that and offers a genuine physical and digital convergence by providing a more interactive and immersive customer experience across physical and digital spaces. ",Philip Kotler,Graham Rowat, 19 December 2023 ,Ascent Audio, 5 hours and 40 minutes , English , Unabridged , Audiobook ,"©2023 John Wiley & Sons, Inc. (P)2023 Ascent Audio",4.4 out of 5 stars,7 ratings
Optimal: How to Sustain Excellence Every Day," Brought to you by Penguin.  Emotional intelligence is now embedded in our public discourse: an idea so pervasive and important in our work, culture, politics and society that leaders such as Jamie Dimon, CEO of JPMorgan Chase, and New York City mayor Eric Adams have placed it at the heart of what they do.  Daniel Goleman's bestselling book Emotional Intelligence was the first to coin this idea and bring it to a mass audience. Now, more than a quarter of a century after it was first published, he and Rutgers professor of psychology Cary Cherniss take a fresh look at how emotional intelligence has evolved over the past few decades, reframing its importance in this definitive book.  Beginning with a dissection of what makes for individual success, Goleman and Cherniss then set out how high performance can be cultivated at every level, scaling up the concept to top team performance and outstanding organisations. Building on attributes such as self-awareness, a sense of meaning and emotional balance, high concentration and 'flow' states, they demonstrate that it is in our optimal moments that our mental clarity shines. ",Daniel Goleman,Mike Lenz, 11 January 2024 ,Penguin Audio, 7 hours and 55 minutes , English , Unabridged , Audiobook ,©2024 Daniel Goleman and Cary Cherniss (P)2024 Penguin Audio,2.9 out of 5 stars,5 ratings
The Theory of Everything: The Origin and Fate of the Universe," The brilliant mind that presented the world with A Brief History of Time offers more insights into the mysteries of the universe.Based on a series of lectures given at Cambridge University, The Theory of Everything presents the most complex concepts of physics—both past and present—in a clear and accessible manner. Acclaimed physicist and author of A Brief History of Time—which has sold more than 25 million copies—Stephen Hawking enlightens audiences and exposes them to the rich history of scientific thought and the complexities of the universe in which we live. Hawking presents a compelling look at our universe, its creation, and how we see ourselves within it. ",Stephen Hawking,Michael York, 3 January 2024 ,Phoenix Books, 3 hours and 29 minutes , English , Unabridged , Audiobook ,©2003 New Millennium Press (P)2023 Phoenix Books,4.5 out of 5 stars,"14,667 ratings"
"The Other Name: Septology I-II (Septology, Book 1)"," The Other Name follows the lives of two men living close to each other on the west coast of Norway. The year is coming to a close and Asle, an aging painter and widower, is reminiscing about his life. He lives alone, his only friends being his neighbor, Åsleik, a bachelor and traditional Norwegian fisherman-farmer, and Beyer, a gallerist who lives in Bjørgvin, a couple hours drive south of Dylgja, where he lives. There, in Bjørgvin, lives another Asle, also a painter. He and the narrator are doppelgangers—two versions of the same person, two versions of the same life.Written in hypnotic prose that shifts between the first and third person, The Other Name calls into question concrete notions around subjectivity and the self. What makes us who we are? And why do we lead one life and not another? Through flashbacks, Fosse deftly explores the convergences and divergences in the lives of both Asles, slowly building towards a decisive encounter between them both. A writer at the zenith of his career, with The Other Name, the first two volumes in his Septology, Fosse presents us with an indelible and poignant exploration of the human condition that will endure as his masterpiece. ",Jon Fosse,Kyle Snyder, 26 December 2023 ,Tantor Audio, 11 hours and 51 minutes , English , Unabridged , Audiobook ,©2019 Jon Fosse; Translation copyright 2019 by Damion Searls (P)2023 Tantor,4.4 out of 5 stars,174 ratings
The Wave Principle," The Elliott Wave Principle, formulated by Ralph Nelson Elliott in the 1930s, stands as a prominent tool in technical analysis, aiming to forecast market trends by discerning recurring wave patterns in financial markets. Rooted in the idea that market price movements aren't random but rather follow identifiable patterns shaped by investor psychology, this theory has gained significant traction.Elliott's framework categorizes waves into two main types: impulse waves and corrective waves. Impulse waves, constituting five distinct moves, align with the primary trend—whether upward or downward. On the other hand, corrective waves, comprising three moves, run counter to the prevailing trend, acting as periods of consolidation or retracement.Practically, analysts employ chart analysis to identify these wave patterns, labeling each wave numerically or alphabetically. To refine their wave counts and predictions, they use Fibonacci ratios, trendlines, and other technical indicators. The key premise is that understanding the psychological factors influencing market participants allows for anticipating future price movements.Traders and investors commonly apply the Elliott Wave analysis to various financial instruments, including stocks, commodities, and forex. Advocates argue that the predictive power of the Elliott Wave Theory can enhance decision-making in trading and investment strategies. However, critics emphasize the subjectivity in wave interpretation and the complexity of market dynamics, making consistent application challenging.In practice, adherents use the Elliott Wave Principle to identify entry and exit points based on the anticipated continuation or reversal of trends. Despite its popularity, it's crucial to approach Elliott Wave analysis with caution, acknowledging that market behavior is influenced by numerous factors, and no single approach guarantees success. ",R. N. Elliott,Jason McCoy, 19 January 2024 ,Author's Republic, 1 hour and 59 minutes , English , Unabridged , Audiobook ,©2020 Ralph Nelson Elliott (P)2024 Eternal Classics,4.4 out of 5 stars,84 ratings
"Heal Your Gut, Mind & Emotions: 5 Steps to Reset Your Health with Ayurveda and Food Chemistry"," Did you know your physical, mental and emotional well-being depends on your gut health? The healthier your gut, the better you are!With the gut as a central axis of vigor, health coach Dimple Jangda has helped people all over the world recover from chronic diseases through a powerful combination of ancient Ayurvedic science, modern research and nutrition with a special emphasis on food chemistry.In this comprehensive book, she shares the tools that shaped her life and advises on how you can use food to preserve your health and reverse diseases. She outlines a five-step process that will help you unlock the huge potentials of the gut and improve your gut–brain axis so it can share critical information with you on what the body truly needs. Dimple’s goal is to empower people to use nutrition to prevent disease, and through this accessible, exhaustive book, shows you just how you can do that. ",Dimple Jangda,Dimple Jangda, 23 January 2024 ,Random House Audio, 6 hours and 53 minutes , English , Unabridged , Audiobook ,©2023 Dimple Jangda (P)2024 Random House Audio,4.5 out of 5 stars,73 ratings
The Untouchables: Who Were They and Why They Became Untouchables," The Untouchables: who were they and why they became UntouchablesIn this book Dr. Ambedkar presents his conclusions that are the result of such historical research as he has been able to make.It contains the novel thesis that comprises the following propositions and his explanation of the same and evidence as to how he arrived at them:(1) There is no racial difference between the Hindus and the Untouchables(2) The distinction between the Hindus and Untouchables in its original form, before the advent of Untouchability, was the distinction between Tribesmen and Broken Men from alien Tribes. It is the Broken Men who subsequently came to be treated as Untouchables(3) Just as Untouchability has no racial basis so also has it no occupational basis(4) There are two roots from which Untouchability has sprung:(a) Contempt and hatred of the Broken Men as of Buddhists by the Brahmins(b) Continuation of beef-eating by the Broken Men after it had been given up by others.(5) In searching for the origin of Untouchability care must be taken to distinguish the Untouchables from the Impure. All orthodox Hindu writers have identified the Impure with the Untouchables. This is an error. Untouchables are distinct from the Impure.(6) While the Impure as a class came into existence at the time of the Dharma Sutras the Untouchables came into being much later than 400 A.DThis book is a a must for those who are from the community, and also for allies in the anti-caste struggle.To know who we are, and why we became the untouchables is very crucial, if not, the most crucial element needed to break our shackles and emancipate ourselves.So please listen and share this audiobook with one and all!Jai Bhim! Namo Buddhaya!Siddhartha ValicharlaReleased: Constitution Day, November 26th 2023Raja Gruha, Las Vegas,Nevada, USA ",Dr. B. R. Ambedkar,Siddhartha Valicharla, 8 December 2023 ,Know Real India, 4 hours and 48 minutes , English , Unabridged , Audiobook ,©2023 Dr. B. R. Ambedkar (P)2023 Siddhartha Valicharla,4.6 out of 5 stars,938 ratings
"Holmes, Margaret and Poe"," Brendan Holmes, Margaret Marple and August Poe run the most in-demand private investigation agency in New York City.  The three detectives make a formidable team, solving a series of seemingly impossible crimes which expose the dark underbelly of the city - from a priceless art theft, high-stakes kidnapping and a decades-old unsolved murder, to a gruesome subterranean prison and corruption and bribery at the highest levels of power.  But it's not long before their headline-grabbing breakthroughs, unconventional methods - and untraceable pasts - attract the attention of the NYPD and the FBI.After all, it's no surprise that there's a mystery or two to unravel in the city that never sleeps . . . not least, who really are Holmes, Margaret and Poe? ",James Patterson,Ms Charlotte Ritchie, 4 January 2024 ,Penguin Audio, 8 hours and 38 minutes , English , Unabridged , Audiobook ,©2024 James Patterson (P)2024 Penguin Audio,4.5 out of 5 stars,"2,334 ratings"
